Date,price
1997 Jan,3.45
1997 Feb,2.15
1997 Mar,1.89
1997 Apr,2.03
1997 May,2.25
1997 Jun,2.20
1997 Jul,2.19
1997 Aug,2.49
1997 Sep,2.88
1997 Oct,3.07
1997 Nov,3.01
1997 Dec,2.35
1998 Jan,2.09
1998 Feb,2.23
1998 Mar,2.24
1998 Apr,2.43
1998 May,2.14
1998 Jun,2.17
1998 Jul,2.17
1998 Aug,1.85
1998 Sep,2.02
1998 Oct,1.91
1998 Nov,2.12
1998 Dec,1.72
1999 Jan,1.85
1999 Feb,1.77
1999 Mar,1.79
1999 Apr,2.15
1999 May,2.26
1999 Jun,2.30
1999 Jul,2.31
1999 Aug,2.80
1999 Sep,2.55
1999 Oct,2.73
1999 Nov,2.37
1999 Dec,2.36
2000 Jan,2.42
2000 Feb,2.66
2000 Mar,2.79
2000 Apr,3.04
2000 May,3.59
2000 Jun,4.29
2000 Jul,3.99
2000 Aug,4.43
2000 Sep,5.06
2000 Oct,5.02
2000 Nov,5.52
2000 Dec,8.90
2001 Jan,8.17
2001 Feb,5.61
2001 Mar,5.23
2001 Apr,5.19
2001 May,4.19
2001 Jun,3.72
2001 Jul,3.11
2001 Aug,2.97
2001 Sep,2.19
2001 Oct,2.46
2001 Nov,2.34
2001 Dec,2.30
2002 Jan,2.32
2002 Feb,2.32
2002 Mar,3.03
2002 Apr,3.43
2002 May,3.50
2002 Jun,3.26
2002 Jul,2.99
2002 Aug,3.09
2002 Sep,3.55
2002 Oct,4.13
2002 Nov,4.04
2002 Dec,4.74
2003 Jan,5.43
2003 Feb,7.71
2003 Mar,5.93
2003 Apr,5.26
2003 May,5.81
2003 Jun,5.82
2003 Jul,5.03
2003 Aug,4.99
2003 Sep,4.62
2003 Oct,4.63
2003 Nov,4.47
2003 Dec,6.13
2004 Jan,6.14
2004 Feb,5.37
2004 Mar,5.39
2004 Apr,5.71
2004 May,6.33
2004 Jun,6.27
2004 Jul,5.93
2004 Aug,5.41
2004 Sep,5.15
2004 Oct,6.35
2004 Nov,6.17
2004 Dec,6.58
2005 Jan,6.15
2005 Feb,6.14
2005 Mar,6.96
2005 Apr,7.16
2005 May,6.47
2005 Jun,7.18
2005 Jul,7.63
2005 Aug,9.53
2005 Sep,11.75
2005 Oct,13.42
2005 Nov,10.30
2005 Dec,13.05
2006 Jan,8.69
2006 Feb,7.54
2006 Mar,6.89
2006 Apr,7.16
2006 May,6.25
2006 Jun,6.21
2006 Jul,6.17
2006 Aug,7.14
2006 Sep,4.90
2006 Oct,5.85
2006 Nov,7.41
2006 Dec,6.73
2007 Jan,6.55
2007 Feb,8.00
2007 Mar,7.11
2007 Apr,7.60
2007 May,7.64
2007 Jun,7.35
2007 Jul,6.22
2007 Aug,6.22
2007 Sep,6.08
2007 Oct,6.74
2007 Nov,7.10
2007 Dec,7.11
2008 Jan,7.99
2008 Feb,8.54
2008 Mar,9.41
2008 Apr,10.18
2008 May,11.27
2008 Jun,12.69
2008 Jul,11.09
2008 Aug,8.26
2008 Sep,7.67
2008 Oct,6.74
2008 Nov,6.68
2008 Dec,5.82
2009 Jan,5.24
2009 Feb,4.52
2009 Mar,3.96
2009 Apr,3.50
2009 May,3.83
2009 Jun,3.80
2009 Jul,3.38
2009 Aug,3.14
2009 Sep,2.99
2009 Oct,4.01
2009 Nov,3.66
2009 Dec,5.35
2010 Jan,5.83
2010 Feb,5.32
2010 Mar,4.29
2010 Apr,4.03
2010 May,4.14
2010 Jun,4.80
2010 Jul,4.63
2010 Aug,4.32
2010 Sep,3.89
2010 Oct,3.43
2010 Nov,3.71
2010 Dec,4.25
2011 Jan,4.49
2011 Feb,4.09
2011 Mar,3.97
2011 Apr,4.24
2011 May,4.31
2011 Jun,4.54
2011 Jul,4.42
2011 Aug,4.06
2011 Sep,3.90
2011 Oct,3.57
2011 Nov,3.24
2011 Dec,3.17
2012 Jan,2.67
2012 Feb,2.51
2012 Mar,2.17
2012 Apr,1.95
2012 May,2.43
2012 Jun,2.46
2012 Jul,2.95
2012 Aug,2.84
2012 Sep,2.85
2012 Oct,3.32
2012 Nov,3.54
2012 Dec,3.34
2013 Jan,3.33
2013 Feb,3.33
2013 Mar,3.81
2013 Apr,4.17
2013 May,4.04
2013 Jun,3.83
2013 Jul,3.62
2013 Aug,3.43
2013 Sep,3.62
2013 Oct,3.68
2013 Nov,3.64
2013 Dec,4.24
2014 Jan,4.71
2014 Feb,6.00
2014 Mar,4.90
2014 Apr,4.66
2014 May,4.58
2014 Jun,4.59
2014 Jul,4.05
2014 Aug,3.91
2014 Sep,3.92
2014 Oct,3.78
2014 Nov,4.12
2014 Dec,3.48
2015 Jan,2.99
2015 Feb,2.87
2015 Mar,2.83
2015 Apr,2.61
2015 May,2.85
2015 Jun,2.78
2015 Jul,2.84
2015 Aug,2.77
2015 Sep,2.66
2015 Oct,2.34
2015 Nov,2.09
2015 Dec,1.93
2016 Jan,2.28
2016 Feb,1.99
2016 Mar,1.73
2016 Apr,1.92
2016 May,1.92
2016 Jun,2.59
2016 Jul,2.82
2016 Aug,2.82
2016 Sep,2.99
2016 Oct,2.98
2016 Nov,2.55
2016 Dec,3.59
2017 Jan,3.30
2017 Feb,2.85
2017 Mar,2.88
2017 Apr,3.10
2017 May,3.15
2017 Jun,2.98
2017 Jul,2.98
2017 Aug,2.90
2017 Sep,2.98
2017 Oct,2.88
2017 Nov,3.01
2017 Dec,2.82
2018 Jan,3.87
2018 Feb,2.67
2018 Mar,2.69
2018 Apr,2.80
2018 May,2.80
2018 Jun,2.97
2018 Jul,2.83
2018 Aug,2.96
2018 Sep,3.00
2018 Oct,3.28
2018 Nov,4.09
2018 Dec,4.04
2019 Jan,3.11
2019 Feb,2.69
2019 Mar,2.95
2019 Apr,2.65
2019 May,2.64
2019 Jun,2.40
2019 Jul,2.37
2019 Aug,2.22
2019 Sep,2.56
2019 Oct,2.33
2019 Nov,2.65
2019 Dec,2.22
2020 Jan,2.02
2020 Feb,1.91
2020 Mar,1.79
2020 Apr,1.74
2020 May,1.75
2020 Jun,1.63
2020 Jul,1.77
2020 Aug,2.30
2020 Sep,1.92
2020 Oct,2.39
2020 Nov,2.61
2020 Dec,2.59
2021 Jan,2.71
2021 Feb,
2021 Mar,
2021 Apr,
2021 May,
2021 Jun,
2021 Jul,
2021 Aug,
2021 Sep,
2021 Oct,
2021 Nov,
2021 Dec,
